lad_id,lad_ons,name,rgn_code,rgn_name,updated_at,tot_shops,R00,R01,R02,R03,R04,R05,R07,R08,R09,R11,R12,R13
429,E08000024,Sunderland,E12000001,North East,2019-03-22,2045,2,22,16,345,312,1229,28,0,130,0,0,0
430,E08000008,Tameside,E12000002,North West,2019-03-22,1458,2,13,47,241,238,917,0,0,0,0,0,0
431,E08000009,Trafford,E12000002,North West,2019-03-23,2056,7,65,92,175,290,1165,130,0,132,0,0,0
432,E08000036,Wakefield,E12000003,Yorkshire and The Humber,2019-03-23,2577,3,53,36,124,370,1547,382,0,62,0,0,0
433,E08000030,Walsall,E12000005,West Midlands,2019-03-24,1705,5,71,73,301,342,755,14,0,144,0,0,0
434,E08000010,Wigan,E12000002,North West,2019-03-23,1960,4,115,78,305,469,987,0,0,0,0,0,0
435,E08000015,Wirral,E12000002,North West,2019-03-24,2183,14,44,64,282,379,1213,1,0,186,0,0,0
436,E08000031,Wolverhampton,E12000005,West Midlands,2019-03-22,1748,5,41,30,115,236,1134,130,0,57,0,0,0
501,E09000002,Barking and Dagenham,E12000007,London,2019-03-22,1010,5,98,35,154,247,417,0,0,54,0,0,0
502,E09000003,Barnet,E12000007,London,2019-03-23,2055,6,49,73,250,394,1228,0,0,55,0,0,0
503,E09000004,Bexley,E12000007,London,2019-03-23,1467,3,33,43,157,324,784,61,0,62,0,0,0
504,E09000005,Brent,E12000007,London,2019-03-20,2017,5,86,104,282,544,882,58,0,56,0,0,0
505,E09000006,Bromley,E12000007,London,2019-03-23,2214,4,58,57,261,330,979,424,0,101,0,0,0
506,E09000007,Camden,E12000007,London,2019-03-24,2864,28,175,155,524,619,1265,2,0,95,0,0,0
507,E09000008,Croydon,E12000007,London,2019-03-18,2551,13,174,52,344,533,1240,177,0,18,0,0,0
508,E09000001,City of London Corporation,E12000007,London,2019-03-22,1803,3,32,36,80,250,1290,42,0,70,0,0,0
509,E09000009,Ealing,E12000007,London,2019-03-24,2559,28,209,178,347,502,949,140,0,205,0,0,0
510,E09000010,Enfield,E12000007,London,2019-03-23,2076,14,135,96,227,470,996,98,0,38,0,0,0
511,E09000011,Greenwich,E12000007,London,2019-03-22,1735,9,60,43,108,359,1023,35,0,109,0,0,0
512,E09000012,Hackney,E12000007,London,2019-03-23,2400,12,77,169,541,563,904,3,0,131,0,0,0
513,E09000013,Hammersmith and Fulham,E12000007,London,2019-03-21,1801,1,44,46,187,286,1120,73,0,44,0,0,0
514,E09000014,Haringey,E12000007,London,2019-03-21,1773,4,39,48,117,290,1135,1,0,139,0,0,0
515,E09000015,Harrow,E12000007,London,2019-03-23,1337,9,55,98,275,297,514,40,0,47,0,0,0
516,E09000016,Havering,E12000007,London,2019-03-22,1644,2,55,54,135,360,787,56,0,195,0,0,0
517,E09000017,Hillingdon,E12000007,London,2019-03-22,1916,12,85,88,229,411,922,0,0,169,0,0,0
518,E09000018,Hounslow,E12000007,London,2019-03-21,1622,10,107,64,149,349,770,28,0,145,0,0,0
519,E09000019,Islington,E12000007,London,2019-03-22,2139,9,99,145,318,454,842,1,0,272,0,0,0
520,E09000020,Kensington and Chelsea,E12000007,London,2019-03-21,1712,4,19,35,149,288,1117,53,0,47,0,0,0
521,E09000021,Kingston-Upon-Thames,E12000007,London,2019-03-24,1050,4,22,24,113,181,654,4,0,48,0,0,0
522,E09000022,Lambeth,E12000007,London,2019-03-23,3070,13,128,115,360,675,1008,707,0,64,0,0,0
523,E09000023,Lewisham,E12000007,London,2019-03-20,2035,7,83,133,338,433,909,0,0,132,0,0,0
524,E09000024,Merton,E12000007,London,2019-03-23,1323,3,17,32,147,275,774,4,0,70,0,0,0
525,E09000025,Newham,E12000007,London,2019-03-22,1865,10,132,104,284,324,971,20,0,20,0,0,0
526,E09000026,Redbridge,E12000007,London,2019-03-23,1683,6,177,22,87,186,1054,73,0,78,0,0,0
527,E09000027,Richmond-Upon-Thames,E12000007,London,2019-03-21,1434,3,25,35,137,278,770,145,0,41,0,0,0
528,E09000028,Southwark,E12000007,London,2019-03-23,2754,4,63,111,300,633,1531,1,0,109,0,0,0
529,E09000029,Sutton,E12000007,London,2019-03-21,945,1,21,19,113,154,486,128,0,23,0,0,0
530,E09000030,Tower Hamlets,E12000007,London,2019-03-24,2583,32,185,101,196,537,1456,76,0,0,0,0,0
531,E09000031,Waltham Forest,E12000007,London,2019-03-24,1735,28,71,76,241,355,767,144,0,66,0,0,0
532,E09000032,Wandsworth,E12000007,London,2019-03-22,2177,8,76,76,263,423,1209,36,0,86,0,0,0
533,E09000033,Westminster,E12000007,London,2019-03-23,4423,26,133,353,372,1034,2300,134,3,68,0,0,0
550,W06000003,Conwy,,,2019-03-24,1645,0,10,9,38,155,1270,80,0,83,0,0,0
551,W06000001,Anglesey,,,2019-03-21,715,0,4,7,37,102,565,0,0,0,0,0,0
552,W06000019,Blaenau Gwent,,,2019-03-24,612,2,16,22,57,192,238,13,0,72,0,0,0
553,W06000013,Bridgend,,,2019-03-22,1297,1,10,21,155,318,634,42,2,114,0,0,0
554,W06000002,Gwynedd,,,2019-03-22,2038,2,9,4,57,166,1673,0,0,127,0,0,0
555,W06000018,Caerphilly,,,2019-03-23,1430,1,28,27,201,335,744,0,0,93,0,0,0
556,W06000015,Cardiff,,,2019-03-24,3281,6,82,83,321,721,1726,158,2,180,0,0,0
557,W06000008,Ceredigion,,,2019-03-16,1142,1,31,35,71,213,682,24,0,85,0,0,0
558,W06000010,Carmarthenshire,,,2019-03-23,1695,1,28,10,79,265,1293,18,1,0,0,0,0
559,W06000004,Denbighshire,,,2019-03-24,987,7,20,15,32,88,796,0,0,29,0,0,0
560,W06000005,Flintshire,,,2019-03-23,1136,1,14,10,29,153,882,0,0,47,0,0,0
561,W06000024,Merthyr Tydfil,,,2019-03-23,504,0,23,15,89,138,239,0,0,0,0,0,0
562,W06000021,Monmouthshire,,,2019-03-23,919,0,13,16,76,186,628,0,0,0,0,0,0
563,W06000012,Neath Port Talbot,,,2019-03-22,1031,2,31,27,76,229,666,0,0,0,0,0,0
564,W06000022,Newport,,,2019-03-21,1372,3,28,28,85,255,826,0,0,147,0,0,0
565,W06000009,Pembrokeshire,,,2019-03-23,1841,0,28,22,46,260,1485,0,0,0,0,0,0
566,W06000023,Powys,,,2019-03-22,2275,7,50,54,111,486,1385,0,0,182,0,0,0
567,W06000016,Rhondda Cynon Taf,,,2019-03-24,1935,2,53,64,290,545,815,31,2,146,0,0,0
568,W06000011,Swansea,,,2019-03-23,1831,4,35,36,136,351,1267,2,0,0,0,0,0
569,W06000020,Torfaen,,,2019-03-23,768,2,27,24,85,199,314,20,0,98,0,0,0
570,W06000014,Vale of Glamorgan,,,2019-03-22,1234,2,20,28,153,269,563,34,2,163,0,0,0
571,W06000006,Wrexham,,,2019-03-23,1034,0,13,5,23,94,870,0,0,29,0,0,0
701,E06000055,Bedford,E12000006,East of England,2019-03-24,1397,0,13,41,78,262,894,53,0,56,0,0,0
702,E06000056,Central Bedfordshire,E12000006,East of England,2019-03-14,1350,0,3,22,121,246,778,125,0,55,0,0,0
703,E06000049,Cheshire East,E12000002,North West,2019-03-23,2489,3,24,20,118,324,1956,31,0,12,0,0,0
704,E06000050,Cheshire West and Chester,E12000002,North West,2019-03-21,3011,3,42,28,137,389,1805,250,0,360,0,0,0
705,E06000052,Cornwall,E12000009,South West,2019-03-22,4652,4,39,42,278,686,3582,4,0,20,0,0,0
706,E06000047,Durham,E12000001,North East,2019-03-23,4327,1,43,119,382,867,2414,141,1,359,0,0,0
707,E06000057,Northumberland,E12000001,North East,2019-03-22,3429,4,29,22,88,374,2471,169,0,272,0,0,0
708,E06000051,Shropshire,E12000005,West Midlands,2019-03-24,2413,1,12,26,125,339,1910,0,0,0,0,0,0
709,E06000054,Wiltshire,E12000009,South West,2019-03-23,3701,2,69,83,214,468,1954,148,0,763,0,0,0
760,S12000033,Aberdeen City,,,2019-03-12,1802,0,0,0,0,0,0,0,0,0,379,1416,7
761,S12000034,Aberdeenshire,,,2019-03-19,2101,0,0,0,0,0,0,216,0,198,123,1532,32
762,S12000041,Angus,,,2019-02-08,913,0,0,0,0,0,0,116,0,0,36,752,9
763,S12000035,Argyll and Bute,,,2019-03-15,907,0,0,0,0,0,0,21,0,53,57,716,60
764,S12000008,East Ayrshire,,,2019-03-08,1070,0,0,0,0,0,0,0,0,252,13,804,1
765,S12000021,North Ayrshire,,,2019-03-22,1343,0,0,0,0,0,0,23,0,43,80,1192,6
766,S12000028,South Ayrshire,,,2019-02-14,1311,,,,,,,,,,,,
